"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"경기도 동두천시 불현동(4125056500)","13,977","13,977","1,168","1,504","1,898","1,748","2,228","2,543","1,558","950","350","27","3","14,332","14,332","1,162","1,515","1,607","1,706","2,314","2,374","1,619","1,331","611","81","12"
"경기도 동두천시 송내동(4125056600)","12,856","12,856","1,371","1,617","1,636","1,808","2,461","1,882","1,050","720","281","30","0","13,276","13,276","1,324","1,558","1,571","1,807","2,448","1,767","1,224","1,049","439","86","3"
"경기도 동두천시 소요동(4125058000)","4,613","4,613","229","288","560","465","694","937","739","500","179","18","4","4,271","4,271","221","250","409","417","492","795","738","589","297","50","13"
"경기도 동두천시 상패동(4125060000)","2,725","2,725","110","162","288","296","421","582","461","292","97","14","2","2,421","2,421","99","145","205","212","297","430","460","356","181","31","5"
"경기도 안산시 (4127000000)","338,449","338,449","25,129","37,732","56,409","47,911","59,068","65,235","30,371","12,158","4,050","364","22","321,514","321,514","24,146","35,032","49,691","40,974","57,961","59,792","28,039","15,614","8,719","1,466","80"
"경기도 안산시 상록구 (4127100000)","181,354","181,354","13,424","19,984","30,956","25,290","31,558","34,693","15,950","6,887","2,389","213","10","174,165","174,165","12,741","18,690","27,373","21,893","31,165","32,141","15,046","9,207","5,003","868","38"
"경기도 안산시 상록구 일동(4127151000)","13,791","13,791","1,125","1,439","2,066","2,077","2,692","2,446","1,143","604","184","14","1","13,328","13,328","1,115","1,473","1,910","1,823","2,388","2,204","1,175","807","361","69","3"
"경기도 안산시 상록구 이동(4127151500)","14,077","14,077","775","1,047","2,630","2,597","2,497","2,544","1,201","583","188","15","0","12,415","12,415","764","905","2,330","1,892","2,103","2,161","1,152","704","334","64","6"
"경기도 안산시 상록구 사동(4127152500)","18,650","18,650","1,272","1,900","3,421","3,053","3,398","3,387","1,267","607","304","39","2","17,258","17,258","1,215","1,719","2,856","2,384","3,110","2,910","1,207","999","703","148","7"
"경기도 안산시 상록구 사이동(4127153200)","17,158","17,158","1,531","2,157","2,832","2,316","3,050","3,179","1,396","511","171","15","0","16,640","16,640","1,469","2,028","2,485","2,076","3,102","2,999","1,331","688","400","58","4"
